Philosofer | [ID: 22] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 24] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 23] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 25] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 26] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 28] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 31] [EATED: 22] [WAITED: 45] [STATE: EATING]
Philosofer | [ID: 30] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 29] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 27] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 32] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 33] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 34] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 35] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 36] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 37] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 38] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 40] [EATED: 22] [WAITED: 45] [STATE: EATING]
Philosofer | [ID: 39] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 41] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 42] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 43] [EATED: 22] [WAITED: 45] [STATE: EATING]
Philosofer | [ID: 44] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 45] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 47] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 46] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 48] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 49] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 50] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 51] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 53] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 52] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 54] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 55] [EATED: 22] [WAITED: 45] [STATE: TRYING TO EAT]
Philosofer | [ID: 57] [EATED: 20] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 56] [EATED: 23] [WAITED: 43] [STATE: EATING]
Philosofer | [ID: 58] [EATED: 23] [WAITED: 41] [STATE: EATING]
Philosofer | [ID: 60] [EATED: 23] [WAITED: 42] [STATE: EATING]
Philosofer | [ID: 61] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 59] [EATED: 19] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 63] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 62] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 64] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 65] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 66] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 67] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 68] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 69] [EATED: 22] [WAITED: 45] [STATE: TRYING TO EAT]
Philosofer | [ID: 70] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 71] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 73] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 72] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 74] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 75] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 76] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 77] [EATED: 23] [WAITED: 43] [STATE: EATING]
Philosofer | [ID: 78] [EATED: 20] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 79] [EATED: 23] [WAITED: 43] [STATE: EATING]
Philosofer | [ID: 80] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 81] [EATED: 22] [WAITED: 45] [STATE: EATING]
Philosofer | [ID: 82] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 83] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 84] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 85] [EATED: 23] [WAITED: 43] [STATE: EATING]
Philosofer | [ID: 86] [EATED: 20] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 87] [EATED: 21] [WAITED: 44] [STATE: THINKING]
Philosofer | [ID: 88] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 89] [EATED: 22] [WAITED: 45] [STATE: TRYING TO EAT]
Philosofer | [ID: 90] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 91] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 92] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 94] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 93] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 95] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 1] [EATED: 22] [WAITED: 45] [STATE: TRYING TO EAT]
Philosofer | [ID: 0] [EATED: 23] [WAITED: 66] [STATE: EATING]
Philosofer | [ID: 97] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 96] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 3] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 2] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 4] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 6] [EATED: 23] [WAITED: 43] [STATE: EATING]
Philosofer | [ID: 5] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 7] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 10] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 11] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 9] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 12] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 13] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 8] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 14] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 16] [EATED: 22] [WAITED: 45] [STATE: TRYING TO EAT]
Philosofer | [ID: 15] [EATED: 22] [WAITED: 45] [STATE: EATING]
Philosofer | [ID: 17] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 18] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 19] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 21] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 20] [EATED: 21] [WAITED: 45] [STATE: THINKING]
Philosofer | [ID: 98] [EATED: 23] [WAITED: 44] [STATE: EATING]
Philosofer | [ID: 99] [EATED: 21] [WAITED: 23] [STATE: THINKING]
